Rk,Name,Age,Tm,Pit/PA,Str%,L/Str,S/Str,F/Str,I/Str,AS/Str,AS/Pit,Con,1st%,30%,2%,L/SO%
324,Andrew Heaney*\heanean01,28,LAA,4.13,64.70%,24.80%,23.40%,28.50%,23.30%,75.20%,48.60%,68.80%,63.10%,3.70%,35.20%,16.90%
325,Taylor Hearn*\hearnta01,24,TEX,4.88,46.20%,33.30%,5.60%,38.90%,22.20%,66.70%,30.80%,91.70%,50.00%,25.00%,12.50%,
326,Ben Heller\hellebe01,27,NYY,3.64,56.90%,31.00%,24.10%,17.20%,27.60%,69.00%,39.20%,65.00%,46.40%,17.90%,14.30%,11.10%
327,Jeremy Hellickson\hellije01,32,WSN,3.69,61.20%,33.20%,10.90%,24.00%,32.00%,66.80%,40.90%,83.70%,59.00%,7.10%,26.80%,60.00%
328,Ryan Helsley\helslry01,24,STL,3.75,67.20%,22.30%,17.10%,32.40%,28.20%,77.70%,52.30%,78.00%,59.50%,3.90%,31.40%,25.00%
329,Heath Hembree\hembrhe01,30,BOS,4.15,62.40%,22.30%,21.20%,32.80%,23.70%,77.70%,48.50%,72.70%,56.60%,6.40%,28.90%,8.70%
330,Kyle Hendricks\hendrky01,29,CHC,3.69,68.20%,27.70%,16.00%,27.10%,29.30%,72.30%,49.30%,77.90%,66.50%,2.60%,29.50%,26.00%
331,Liam Hendriks\hendrli01,30,OAK,4.08,66.20%,22.20%,28.00%,29.10%,20.60%,77.80%,51.50%,64.00%,65.70%,3.90%,34.60%,16.90%
332,Jimmy Herget\hergeji01,25,CIN,3.65,63.20%,30.00%,11.70%,20.00%,38.30%,70.00%,44.20%,83.30%,76.90%,11.50%,50.00%,
333,Darwinzon Hernandez*\hernada02,22,BOS,4.63,58.40%,29.90%,24.90%,29.90%,15.30%,70.10%,41.00%,64.50%,40.80%,9.50%,21.80%,26.30%
334,David Hernandez\hernada01,34,CIN,3.95,66.90%,24.20%,24.40%,27.70%,23.70%,75.80%,50.70%,67.80%,65.20%,3.50%,34.80%,28.30%
335,Elieser Hernandez\hernael01,24,MIA,4.07,65.90%,26.00%,18.60%,30.80%,24.50%,74.00%,48.80%,74.80%,65.00%,5.90%,32.80%,24.70%
336,Felix Hernandez\hernafe02,33,SEA,3.73,63.10%,31.30%,14.90%,22.90%,30.90%,68.70%,43.30%,78.40%,66.90%,3.10%,18.40%,35.10%
337,Jonathan Hernandez\hernajo02,22,TEX,4.26,54.80%,28.60%,23.60%,22.50%,25.30%,71.40%,39.20%,66.90%,35.90%,7.70%,21.80%,21.10%
338,Kelvin Herrera\herreke01,29,CHW,3.86,65.40%,23.70%,20.20%,29.50%,26.60%,76.30%,49.90%,73.50%,66.40%,4.70%,22.60%,15.10%
339,David Hess\hessda01,25,BAL,3.92,62.30%,21.10%,15.30%,33.90%,29.70%,78.90%,49.20%,80.70%,62.20%,4.10%,20.80%,32.40%
340,Jordan Hicks\hicksjo03,22,STL,4.13,59.90%,30.50%,21.00%,23.90%,24.60%,69.50%,41.60%,69.80%,60.90%,4.50%,24.50%,22.60%
341,Trevor Hildenberger\hildetr01,28,MIN,3.7,65.30%,28.20%,16.90%,25.40%,29.60%,71.80%,46.90%,76.50%,63.60%,8.00%,33.00%,13.30%
342,Rich Hill*\hillri01,39,LAD,3.98,68.70%,30.30%,17.90%,29.50%,22.30%,69.70%,47.90%,74.30%,64.60%,4.50%,38.70%,27.80%
343,Tim Hill*\hillti01,29,KCR,3.91,65.10%,26.20%,15.30%,33.20%,25.40%,73.80%,48.10%,79.30%,59.90%,8.60%,38.90%,20.50%
344,Yoshihisa Hirano\hiranyo01,35,ARI,4.03,63.90%,24.70%,23.90%,26.90%,24.50%,75.30%,48.10%,68.30%,62.20%,3.90%,30.90%,13.10%
345,Jeff Hoffman\hoffmje02,26,COL,3.99,63.10%,26.30%,15.90%,31.40%,26.40%,73.70%,46.50%,78.40%,55.90%,5.40%,25.70%,14.70%
346,Bryan Holaday\holadbr01,31,MIA,5,60.00%,33.30%,0.00%,33.30%,33.30%,66.70%,40.00%,100.00%,0.00%,0.00%,0.00%,
347,Jonathan Holder\holdejo02,26,NYY,3.83,67.20%,26.20%,18.90%,28.80%,26.20%,73.80%,49.60%,74.40%,60.20%,2.80%,32.60%,23.90%
348,Derek Holland*\hollade01,32,TOT,3.95,62.80%,27.60%,19.50%,26.70%,26.20%,72.40%,45.50%,73.10%,63.90%,4.00%,31.80%,36.60%
349,Greg Holland\hollagr01,33,ARI,3.94,61.30%,30.20%,21.00%,25.10%,23.70%,69.80%,42.70%,69.90%,52.00%,7.90%,31.60%,14.60%
350,Clay Holmes\holmecl01,26,PIT,3.8,57.50%,34.50%,17.80%,21.30%,26.40%,65.50%,37.70%,72.80%,55.20%,7.50%,18.30%,33.90%
351,Adrian Houser\housead01,26,MIL,3.91,63.00%,29.10%,17.30%,27.00%,26.60%,70.90%,44.70%,75.60%,60.90%,4.50%,24.80%,30.20%
352,Sam Howard*\howarsa01,26,COL,4.21,60.80%,20.20%,25.80%,30.50%,23.60%,79.80%,48.60%,67.70%,56.00%,6.60%,23.10%,21.70%
353,James Hoyt\hoytja01,32,CLE,3.84,64.20%,30.40%,27.80%,16.50%,25.30%,69.60%,44.70%,60.00%,65.60%,3.10%,46.90%,10.00%
354,Wei-Chieh Huang\huangwe01,25,TEX,3.56,59.60%,26.50%,8.80%,29.40%,35.30%,73.50%,43.90%,88.00%,71.90%,9.40%,25.00%,50.00%
355,Dakota Hudson\hudsoda02,24,STL,3.76,60.30%,26.70%,17.40%,25.30%,30.60%,73.30%,44.20%,76.30%,56.10%,6.70%,19.60%,28.70%
356,Daniel Hudson\hudsoda01,32,TOT,4,65.80%,24.50%,17.20%,33.10%,25.20%,75.50%,49.70%,77.20%,63.80%,4.30%,28.30%,19.70%
357,Jared Hughes\hugheja02,33,TOT,3.96,60.70%,21.80%,17.70%,30.80%,29.70%,78.20%,47.50%,77.30%,59.90%,4.80%,17.00%,14.80%
358,Danny Hultzen*\hultzda01,29,CHC,4.06,64.40%,27.70%,21.30%,29.80%,21.30%,72.30%,46.60%,70.60%,77.80%,5.60%,38.90%,40.00%
359,Tommy Hunter\hunteto02,32,PHI,4,66.70%,33.30%,18.80%,20.80%,27.10%,66.70%,44.40%,71.90%,61.10%,0.00%,16.70%,0.00%
360,Raisel Iglesias\iglesra01,29,CIN,4.06,65.20%,24.60%,25.60%,27.20%,22.60%,75.40%,49.20%,66.10%,55.90%,5.40%,24.00%,20.20%
361,Cole Irvin*\irvinco01,25,PHI,3.53,66.80%,24.40%,15.70%,28.60%,31.40%,75.60%,50.50%,79.30%,66.90%,6.10%,22.70%,22.60%
362,Edwin Jackson\jacksed01,35,TOT,3.89,60.40%,23.60%,18.10%,27.00%,31.40%,76.40%,46.20%,76.30%,55.00%,5.30%,17.50%,9.60%
363,Jay Jackson\jacksja01,31,MIL,4.24,62.10%,23.00%,29.90%,28.40%,18.70%,77.00%,47.90%,61.20%,59.10%,5.30%,25.00%,23.40%
364,Luke Jackson\jackslu01,27,ATL,3.97,64.10%,23.80%,28.00%,25.70%,22.50%,76.20%,48.90%,63.30%,64.20%,4.40%,26.90%,11.30%
365,Josh James\jamesjo02,26,HOU,4.28,60.90%,25.30%,27.50%,28.90%,18.30%,74.70%,45.40%,63.20%,57.70%,5.60%,31.80%,20.00%
366,Kenley Jansen\janseke01,31,LAD,4.06,69.40%,22.80%,24.80%,30.40%,22.00%,77.20%,53.60%,67.80%,68.10%,2.30%,38.00%,16.30%
367,Jeremy Jeffress\jeffrje01,31,MIL,3.9,65.20%,25.30%,15.60%,31.60%,27.40%,74.70%,48.70%,79.20%,61.80%,3.60%,27.60%,30.40%
368,Dan Jennings*\jennida01,32,WSN,4.19,53.00%,33.80%,21.10%,23.90%,21.10%,66.20%,35.10%,68.10%,59.40%,18.80%,12.50%,55.60%
369,Williams Jerez*\jerezwi01,27,TOT,3.98,57.60%,20.90%,15.50%,36.40%,27.30%,79.10%,45.50%,80.50%,54.20%,6.30%,18.80%,33.30%
370,Jake Jewell\jewelja01,26,LAA,3.61,66.30%,26.70%,20.90%,23.10%,29.30%,73.30%,48.50%,71.50%,65.80%,2.60%,28.90%,4.30%
371,Eduardo Jimenez\jimened01,24,DET,3.86,61.40%,23.30%,12.90%,32.80%,31.00%,76.70%,47.10%,83.10%,51.00%,10.20%,32.70%,25.00%
372,Joe Jimenez\jimenjo02,24,DET,4.09,67.40%,25.70%,23.30%,30.20%,20.80%,74.30%,50.10%,68.60%,66.70%,5.00%,32.20%,15.90%
373,Brian Johnson*\johnsbr02,28,BOS,3.98,59.30%,31.70%,15.50%,22.50%,30.30%,68.30%,40.50%,77.30%,54.10%,6.70%,12.40%,16.10%
374,DJ Johnson\johnsdj01,29,COL,4.22,62.80%,26.70%,18.90%,31.60%,22.80%,73.30%,46.00%,74.20%,64.70%,5.20%,37.10%,12.50%
375,Nate Jones\jonesna01,33,CHW,4.38,56.30%,30.20%,18.10%,26.70%,25.00%,69.80%,39.30%,74.10%,61.70%,2.10%,23.40%,30.00%
376,Caleb Joseph\josepca01,33,ARI,2.25,77.80%,28.60%,0.00%,14.30%,57.10%,71.40%,55.60%,100.00%,50.00%,0.00%,25.00%,
377,Jakob Junis\junisja01,26,KCR,3.8,63.30%,28.40%,16.20%,26.30%,29.00%,71.60%,45.30%,77.40%,61.60%,3.40%,19.30%,26.80%
378,Ariel Jurado\juradar01,23,TEX,3.78,63.90%,27.80%,13.00%,27.10%,32.10%,72.20%,46.20%,82.00%,62.50%,4.40%,22.70%,34.60%
379,Tommy Kahnle\kahnlto01,29,NYY,4.14,65.20%,21.10%,28.60%,29.70%,20.60%,78.90%,51.50%,63.80%,62.10%,4.00%,30.20%,9.10%
380,James Karinchak\karinja01,23,CLE,4.27,70.20%,25.80%,25.80%,28.80%,19.70%,74.20%,52.10%,65.30%,63.60%,4.50%,72.70%,25.00%
381,Nate Karns\karnsna01,31,BAL,3.64,61.50%,28.60%,17.90%,25.00%,28.60%,71.40%,44.00%,75.00%,60.00%,4.00%,24.00%,20.00%
382,Anthony Kay*\kayan01,24,TOR,4.1,63.20%,18.40%,19.60%,35.00%,27.00%,81.60%,51.60%,75.90%,55.60%,4.80%,42.90%,30.80%
383,Keone Kela\kelake01,26,PIT,4.24,63.50%,30.60%,18.80%,27.50%,23.10%,69.40%,44.00%,73.00%,54.60%,4.20%,33.60%,36.40%
384,Brad Keller\kellebr01,23,KCR,3.81,62.00%,25.80%,14.70%,29.30%,30.20%,74.20%,46.00%,80.10%,57.10%,5.80%,24.20%,26.20%
385,Kyle Keller\kelleky01,26,MIA,4.2,58.00%,21.40%,23.20%,33.00%,22.30%,78.60%,45.60%,70.50%,56.50%,4.30%,30.40%,9.10%
386,Mitch Keller\kellemi03,23,PIT,4.09,66.30%,22.00%,19.40%,35.10%,23.50%,78.00%,51.70%,75.10%,63.20%,3.10%,29.80%,16.90%
387,Shawn Kelley\kellesh01,35,TEX,3.75,68.20%,22.70%,18.30%,30.50%,28.40%,77.30%,52.70%,76.30%,62.40%,6.30%,35.60%,18.60%
388,Trevor Kelley\kelletr01,25,BOS,4.08,62.60%,31.40%,10.80%,29.40%,28.40%,68.60%,42.90%,84.30%,70.00%,7.50%,30.00%,33.30%
389,Joe Kelly\kellyjo05,31,LAD,3.96,64.20%,34.70%,17.20%,23.90%,24.20%,65.30%,41.90%,73.60%,56.20%,4.90%,30.50%,25.80%
390,Merrill Kelly\kellyme01,30,ARI,3.81,64.10%,26.40%,16.50%,27.70%,29.50%,73.60%,47.20%,77.60%,58.60%,5.40%,26.50%,26.60%
391,Ian Kennedy\kenneia01,34,KCR,4.12,65.60%,26.40%,17.80%,31.40%,24.30%,73.60%,48.30%,75.80%,60.90%,2.60%,34.20%,24.70%
392,Clayton Kershaw*\kershcl01,31,LAD,3.77,67.20%,23.60%,21.20%,28.90%,26.40%,76.40%,51.30%,72.30%,67.30%,2.50%,29.80%,18.00%
393,Dallas Keuchel*\keuchda01,31,ATL,3.83,61.70%,26.00%,15.80%,28.00%,30.20%,74.00%,45.70%,78.60%,55.90%,3.90%,14.80%,30.80%
394,Yusei Kikuchi*\kikucyu01,28,SEA,3.77,64.10%,25.50%,14.90%,28.20%,31.50%,74.50%,47.70%,80.10%,59.10%,3.50%,21.70%,21.60%
395,Craig Kimbrel\kimbrcr01,31,CHC,4.08,61.50%,22.40%,25.30%,30.70%,21.60%,77.60%,47.70%,67.40%,56.30%,8.30%,28.10%,20.00%
396,Mike King\kingmi01,24,NYY,4.56,58.50%,25.00%,4.20%,37.50%,33.30%,75.00%,43.90%,94.40%,77.80%,0.00%,33.30%,0.00%
397,Nick Kingham\kinghni01,27,TOT,3.97,62.80%,23.90%,15.00%,31.90%,29.10%,76.10%,47.80%,80.20%,55.20%,5.40%,23.90%,19.60%
398,Tyler Kinley\kinlety01,28,MIA,3.92,62.00%,24.00%,22.70%,27.60%,25.70%,76.00%,47.10%,70.10%,58.80%,5.40%,29.90%,10.90%
399,Ian Kinsler\kinslia01,37,SDP,4.5,55.60%,33.30%,0.00%,46.70%,20.00%,66.70%,37.00%,100.00%,66.70%,0.00%,0.00%,
400,Brandon Kintzler\kintzbr01,34,CHC,3.77,63.80%,29.30%,13.20%,27.80%,29.70%,70.70%,45.10%,81.30%,60.80%,4.00%,20.70%,29.20%
401,Andrew Kittredge\kittran01,29,TBR,3.9,68.20%,22.80%,24.60%,28.00%,24.70%,77.20%,52.70%,68.20%,68.10%,2.40%,41.00%,13.80%
402,Branden Kline\klinebr01,27,BAL,3.87,58.80%,23.70%,18.50%,26.90%,30.90%,76.30%,44.90%,75.80%,54.10%,4.90%,15.80%,23.50%
403,Corey Kluber\klubeco01,33,CLE,3.64,63.50%,25.50%,21.10%,24.50%,28.90%,74.50%,47.30%,71.60%,64.90%,6.00%,25.00%,23.70%
404,Matt Koch\kochma01,28,ARI,3.79,61.30%,22.40%,11.20%,31.40%,35.00%,77.60%,47.50%,85.50%,59.40%,5.20%,21.90%,44.40%
405,Adam Kolarek*\kolarad01,30,TOT,3.47,65.20%,26.30%,18.10%,23.70%,31.90%,73.70%,48.10%,75.40%,63.30%,3.90%,20.50%,26.70%
406,Joel Kuhnel\kuhnejo01,24,CIN,3.95,62.00%,16.50%,24.30%,32.00%,27.20%,83.50%,51.80%,70.90%,69.00%,4.80%,31.00%,0.00%
407,Brady Lail\lailbr01,25,NYY,4.6,63.00%,20.70%,20.70%,34.50%,24.10%,79.30%,50.00%,73.90%,60.00%,0.00%,40.00%,0.00%
408,Travis Lakins\lakintr01,25,BOS,3.87,59.00%,24.50%,19.30%,24.90%,31.30%,75.50%,44.60%,74.40%,48.00%,4.90%,16.70%,33.30%
409,Peter Lambert\lambepe01,22,COL,3.76,61.40%,26.30%,12.40%,28.20%,33.00%,73.70%,45.30%,83.10%,59.90%,5.70%,16.40%,33.30%
410,Dinelson Lamet\lametdi01,26,SDP,3.93,64.40%,27.50%,22.90%,27.80%,21.80%,72.50%,46.70%,68.40%,59.90%,4.50%,32.80%,23.80%
411,Eric Lauer*\lauerer01,24,SDP,3.84,65.10%,26.50%,14.80%,30.70%,28.00%,73.50%,47.80%,79.90%,63.60%,4.10%,26.20%,29.70%
412,Derek Law\lawde01,28,TOR,4.17,60.00%,29.70%,21.20%,24.60%,24.40%,70.30%,42.10%,69.80%,59.10%,4.90%,23.80%,22.40%
413,Mike Leake\leakemi01,31,TOT,3.55,68.10%,26.00%,13.30%,27.50%,33.10%,74.00%,50.40%,82.00%,63.20%,2.90%,25.50%,27.60%
414,Wade LeBlanc*\leblawa01,34,SEA,3.67,65.20%,27.70%,16.10%,24.20%,32.10%,72.30%,47.20%,77.70%,67.30%,2.40%,22.00%,47.80%
415,Jose Leclerc\leclejo01,25,TEX,4.32,61.00%,27.90%,23.80%,28.80%,19.50%,72.10%,44.00%,67.00%,58.90%,5.00%,23.40%,22.00%
416,Dominic Leone\leonedo01,27,STL,3.78,61.80%,20.40%,24.20%,28.70%,26.60%,79.60%,49.20%,69.60%,62.20%,6.70%,21.10%,21.70%
417,Jon Lester*\lestejo01,35,CHC,3.98,62.60%,26.90%,15.40%,29.20%,28.50%,73.10%,45.70%,78.90%,58.80%,3.10%,22.10%,30.90%
418,Francisco Liriano*\liriafr01,35,PIT,3.75,61.90%,22.70%,23.60%,25.10%,28.60%,77.30%,47.90%,69.50%,60.50%,6.30%,22.30%,17.50%
419,Zack Littell\litteza01,23,MIN,3.77,66.60%,21.30%,21.50%,28.60%,28.60%,78.70%,52.50%,72.70%,62.30%,2.70%,27.40%,12.50%
420,Ben Lively\livelbe01,27,KCR,4.5,66.70%,44.40%,16.70%,11.10%,27.80%,55.60%,37.00%,70.00%,83.30%,0.00%,33.30%,100.00%
421,Jonathan Loaisiga\loaisjo01,24,NYY,4.26,62.00%,27.50%,24.00%,25.30%,23.20%,72.50%,44.90%,66.90%,63.30%,3.60%,36.00%,29.70%
422,Walker Lockett\lockewa01,25,NYM,3.58,68.00%,29.10%,12.00%,27.10%,31.90%,70.90%,48.20%,83.10%,67.00%,2.90%,21.40%,18.80%
423,Jorge Lopez\lopezjo02,26,KCR,3.75,62.40%,28.30%,15.50%,26.10%,30.10%,71.70%,44.80%,78.40%,59.00%,5.60%,21.50%,29.40%
424,Pablo Lopez\lopezpa01,23,MIA,3.83,64.30%,24.20%,17.80%,28.90%,29.10%,75.80%,48.80%,76.50%,55.70%,4.30%,21.70%,20.00%
425,Reynaldo Lopez\lopezre01,25,CHW,3.9,64.50%,24.60%,18.60%,29.00%,27.80%,75.40%,48.70%,75.30%,59.90%,5.40%,29.00%,13.00%
426,Yoan Lopez\lopezyo01,26,ARI,3.52,63.40%,24.10%,16.10%,25.70%,34.10%,75.90%,48.10%,78.80%,57.70%,4.10%,19.50%,16.70%
427,Michael Lorenzen\lorenmi01,27,CIN,3.88,63.00%,22.50%,24.10%,26.30%,27.10%,77.50%,48.80%,68.90%,62.50%,3.20%,21.80%,7.10%
428,Aaron Loup*\loupaa01,31,SDP,3.79,62.30%,24.20%,24.20%,30.30%,21.20%,75.80%,47.20%,68.00%,64.30%,7.10%,57.10%,40.00%
429,Richard Lovelady*\lovelri01,23,KCR,3.91,63.70%,26.40%,13.00%,31.40%,29.30%,73.60%,46.90%,82.40%,58.30%,4.20%,14.60%,41.20%
430,Josh Lucas\lucasjo02,28,BAL,3.96,60.40%,26.10%,15.80%,30.30%,27.90%,73.90%,44.70%,78.70%,46.40%,7.20%,21.70%,37.50%
431,Joey Lucchesi*\lucchjo01,26,SDP,3.85,62.80%,27.90%,18.30%,25.50%,28.30%,72.10%,45.30%,74.60%,62.40%,3.60%,28.10%,32.90%
432,Elvis Luciano\luciael01,19,TOR,3.99,59.40%,22.50%,19.60%,30.00%,27.90%,77.50%,46.00%,74.70%,49.70%,6.30%,20.80%,22.20%
433,Seth Lugo\lugose01,29,NYM,4.06,66.60%,30.70%,18.40%,28.60%,22.30%,69.30%,46.10%,73.50%,58.30%,5.70%,28.70%,32.70%
434,Jesus Luzardo*\luzarje01,21,OAK,3.72,60.80%,33.70%,25.00%,16.30%,25.00%,66.30%,40.40%,62.30%,45.70%,10.90%,23.90%,31.30%
435,Jordan Lyles\lylesjo01,28,TOT,4.07,63.80%,25.70%,17.80%,31.10%,25.30%,74.30%,47.40%,76.00%,63.00%,4.50%,26.20%,18.50%
436,Lance Lynn\lynnla01,32,TEX,4.05,64.10%,23.50%,21.80%,30.00%,24.70%,76.50%,49.00%,71.50%,62.60%,4.00%,27.10%,22.40%
437,Tyler Lyons*\lyonsty01,31,TOT,3.54,66.50%,30.70%,24.40%,20.50%,24.40%,69.30%,46.10%,64.80%,61.10%,11.10%,33.30%,35.30%
438,Kenta Maeda\maedake01,31,LAD,3.9,65.70%,25.60%,24.10%,25.30%,25.00%,74.40%,48.90%,67.60%,64.70%,3.40%,27.70%,16.60%
439,Matt Magill\magilma01,29,TOT,3.85,64.60%,25.20%,24.10%,25.70%,25.00%,74.80%,48.40%,67.80%,60.00%,5.70%,29.10%,23.40%
